,available_supply,id,market_cap_usd,name,rank,symbol,last_price_btc,max_price_btc,mean_price_btc,median_price_btc,std_price_btc,min_price_btc,first_price_btc,last_price_usd,max_price_usd,mean_price_usd,median_price_usd,std_price_usd,min_price_usd,first_price_usd,last_percent_change_1h,max_percent_change_1h,mean_percent_change_1h,median_percent_change_1h,std_percent_change_1h,min_percent_change_1h,first_percent_change_1h,last_percent_change_7d,max_percent_change_7d,mean_percent_change_7d,median_percent_change_7d,std_percent_change_7d,min_percent_change_7d,first_percent_change_7d,last_volume_24h_usd,max_volume_24h_usd,mean_volume_24h_usd,median_volume_24h_usd,std_volume_24h_usd,min_volume_24h_usd,first_volume_24h_usd,last_percent_change_24h,max_percent_change_24h,mean_percent_change_24h,median_percent_change_24h,std_percent_change_24h,min_percent_change_24h,first_percent_change_24h,last_max_supply,max_max_supply,mean_max_supply,median_max_supply,std_max_supply,min_max_supply,first_max_supply,last_total_supply,max_total_supply,mean_total_supply,median_total_supply,std_total_supply,min_total_supply,first_total_supply,date,active_assets,active_currencies,active_markets,total_24h_volume_usd,total_market_cap_usd,percent_currency_market_cap_usd
10,7907444.0,dash,4939140020.0,Dash,11,DASH,0.0608658,0.0608658,0.0608658,0.0608658,,0.0608658,0.0608658,624.619,624.619,624.619,624.619,,624.619,624.619,1.01,1.01,1.01,1.01,,1.01,1.01,-13.16,-13.16,-13.16,-13.16,,-13.16,-13.16,74282400.0,74282400.0,74282400.0,74282400.0,,74282400.0,74282400.0,7.18,7.18,7.18,7.18,,7.18,7.18,18900000.0,18900000.0,18900000.0,18900000.0,,18900000.0,18900000.0,7907444.0,7907444.0,7907444.0,7907444.0,,7907444.0,7907444.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,1.0927289464808787
11,15765034.0,monero,4583053129.0,Monero,12,XMR,0.0283281,0.0283281,0.0283281,0.0283281,,0.0283281,0.0283281,290.71,290.71,290.71,290.71,,290.71,290.71,0.92,0.92,0.92,0.92,,0.92,0.92,-7.55,-7.55,-7.55,-7.55,,-7.55,-7.55,52949700.0,52949700.0,52949700.0,52949700.0,,52949700.0,52949700.0,7.77,7.77,7.77,7.77,,7.77,7.77,,,,,,,,15765034.0,15765034.0,15765034.0,15765034.0,,15765034.0,15765034.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,1.0139487435138688
12,100134785.0,ethereum-classic,3600446329.0,Ethereum Classic,13,ETC,0.00350372,0.00350372,0.00350372,0.00350372,,0.00350372,0.00350372,35.956,35.956,35.956,35.956,,35.956,35.956,-0.94,-0.94,-0.94,-0.94,,-0.94,-0.94,-7.42,-7.42,-7.42,-7.42,,-7.42,-7.42,660787000.0,660787000.0,660787000.0,660787000.0,,660787000.0,660787000.0,1.32,1.32,1.32,1.32,,1.32,1.32,,,,,,,,100134785.0,100134785.0,100134785.0,100134785.0,,100134785.0,100134785.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.7965580866341014
13,8999999999.0,nem,3592908000.0,NEM,14,XEM,3.89e-05,3.89e-05,3.89e-05,3.89e-05,,3.89e-05,3.89e-05,0.399212,0.399212,0.399212,0.399212,,0.399212,0.399212,-0.02,-0.02,-0.02,-0.02,,-0.02,-0.02,-24.67,-24.67,-24.67,-24.67,,-24.67,-24.67,19932300.0,19932300.0,19932300.0,19932300.0,,19932300.0,19932300.0,3.15,3.15,3.15,3.15,,3.15,3.15,,,,,,,,8999999999.0,8999999999.0,8999999999.0,8999999999.0,,8999999999.0,8999999999.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.794890316481192
14,65748192475.0,tron,2801852648.0,TRON,15,TRX,4.15e-06,4.15e-06,4.15e-06,4.15e-06,,4.15e-06,4.15e-06,0.0426149,0.0426149,0.0426149,0.0426149,,0.0426149,0.0426149,2.74,2.74,2.74,2.74,,2.74,2.74,-17.94,-17.94,-17.94,-17.94,,-17.94,-17.94,189858000.0,189858000.0,189858000.0,189858000.0,,189858000.0,189858000.0,7.29,7.29,7.29,7.29,,7.29,7.29,,,,,,,,100000000000.0,100000000000.0,100000000000.0,100000000000.0,,100000000000.0,100000000000.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.6198782540778628
15,475347275.0,vechain,2655014177.0,VeChain,16,VEN,0.00054427,0.00054427,0.00054427,0.00054427,,0.00054427,0.00054427,5.58542,5.58542,5.58542,5.58542,,5.58542,5.58542,-1.47,-1.47,-1.47,-1.47,,-1.47,-1.47,-9.12,-9.12,-9.12,-9.12,,-9.12,-9.12,166529000.0,166529000.0,166529000.0,166529000.0,,166529000.0,166529000.0,-1.03,-1.03,-1.03,-1.03,,-1.03,-1.03,,,,,,,,873378637.0,873378637.0,873378637.0,873378637.0,,873378637.0,873378637.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.5873919007716261
16,2217140814.0,tether,2218005498.0,Tether,17,USDT,9.748e-05,9.748e-05,9.748e-05,9.748e-05,,9.748e-05,9.748e-05,1.00039,1.00039,1.00039,1.00039,,1.00039,1.00039,-0.12,-0.12,-0.12,-0.12,,-0.12,-0.12,-0.03,-0.03,-0.03,-0.03,,-0.03,-0.03,2311470000.0,2311470000.0,2311470000.0,2311470000.0,,2311470000.0,2311470000.0,-0.17,-0.17,-0.17,-0.17,,-0.17,-0.17,,,,,,,,2280109970.0,2280109970.0,2280109970.0,2280109970.0,,2280109970.0,2280109970.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.49070866614515146
17,73909868.0,qtum,2212602763.0,Qtum,18,QTUM,0.00291716,0.00291716,0.00291716,0.00291716,,0.00291716,0.00291716,29.9365,29.9365,29.9365,29.9365,,29.9365,29.9365,3.75,3.75,3.75,3.75,,3.75,3.75,-8.23,-8.23,-8.23,-8.23,,-8.23,-8.23,249308000.0,249308000.0,249308000.0,249308000.0,,249308000.0,249308000.0,18.5,18.5,18.5,18.5,,18.5,18.5,,,,,,,,100409868.0,100409868.0,100409868.0,100409868.0,,100409868.0,100409868.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.48951337204521517
18,102255700.0,lisk,2131458715.0,Lisk,19,LSK,0.00203118,0.00203118,0.00203118,0.00203118,,0.00203118,0.00203118,20.8444,20.8444,20.8444,20.8444,,20.8444,20.8444,1.15,1.15,1.15,1.15,,1.15,1.15,-30.76,-30.76,-30.76,-30.76,,-30.76,-30.76,44715700.0,44715700.0,44715700.0,44715700.0,,44715700.0,44715700.0,4.73,4.73,4.73,4.73,,4.73,4.73,,,,,,,,118472480.0,118472480.0,118472480.0,118472480.0,,118472480.0,118472480.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.47156116787096825
19,16847886.0,bitcoin-gold,2005471273.0,Bitcoin Gold,20,BTG,0.0115993,0.0115993,0.0115993,0.0115993,,0.0115993,0.0115993,119.034,119.034,119.034,119.034,,119.034,119.034,0.09,0.09,0.09,0.09,,0.09,0.09,-13.59,-13.59,-13.59,-13.59,,-13.59,-13.59,23885900.0,23885900.0,23885900.0,23885900.0,,23885900.0,23885900.0,4.27,4.27,4.27,4.27,,4.27,4.27,21000000.0,21000000.0,21000000.0,21000000.0,,21000000.0,21000000.0,16947886.0,16947886.0,16947886.0,16947886.0,,16947886.0,16947886.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.44368786923820736
