,available_supply,id,market_cap_usd,name,rank,symbol,last_price_btc,max_price_btc,mean_price_btc,median_price_btc,std_price_btc,min_price_btc,first_price_btc,last_price_usd,max_price_usd,mean_price_usd,median_price_usd,std_price_usd,min_price_usd,first_price_usd,last_percent_change_1h,max_percent_change_1h,mean_percent_change_1h,median_percent_change_1h,std_percent_change_1h,min_percent_change_1h,first_percent_change_1h,last_percent_change_7d,max_percent_change_7d,mean_percent_change_7d,median_percent_change_7d,std_percent_change_7d,min_percent_change_7d,first_percent_change_7d,last_volume_24h_usd,max_volume_24h_usd,mean_volume_24h_usd,median_volume_24h_usd,std_volume_24h_usd,min_volume_24h_usd,first_volume_24h_usd,last_percent_change_24h,max_percent_change_24h,mean_percent_change_24h,median_percent_change_24h,std_percent_change_24h,min_percent_change_24h,first_percent_change_24h,last_max_supply,max_max_supply,mean_max_supply,median_max_supply,std_max_supply,min_max_supply,first_max_supply,last_total_supply,max_total_supply,mean_total_supply,median_total_supply,std_total_supply,min_total_supply,first_total_supply,date,active_assets,active_currencies,active_markets,total_24h_volume_usd,total_market_cap_usd,percent_currency_market_cap_usd
10,7907117.0,dash,4652982264.0,Dash,11,DASH,0.0613689,0.0614525,0.061423366666666666,0.0614487,4.720776772241563e-05,0.0613689,0.0614525,588.8,588.946,588.7336666666666,588.8,0.25213157940513203,588.455,588.455,0.47,0.47,0.43,0.47,0.06928203230275509,0.35,0.35,-17.13,-17.09,-17.11,-17.11,0.019999999999999574,-17.13,-17.11,69004800.0,69055600.0,69030866.66666667,69032200.0,25426.233172324806,69004800.0,69055600.0,-0.58,-0.55,-0.5866666666666668,-0.58,0.04041451884327382,-0.63,-0.63,18900000.0,18900000.0,18900000.0,18900000.0,0.0,18900000.0,18900000.0,7907135.0,7907135.0,7907129.0,7907135.0,10.392304845413264,7907117.0,7907117.0,2018-02-26 10:00:00,584,903,8718,15686958716.0,428911450134.0,1.0848351711166304
11,15764487.0,monero,4329952816.0,Monero,12,XMR,0.0286697,0.0286833,0.028672066666666662,0.0286697,1.0256867618005951e-05,0.0286632,0.0286833,275.069,275.069,274.81766666666664,274.719,0.21932928061098328,274.665,274.665,0.71,0.71,0.6366666666666666,0.6,0.06350852961085884,0.6,0.6,-11.76,-11.76,-11.803333333333333,-11.81,0.040414518843273586,-11.84,-11.81,45433900.0,45533800.0,45491766.666666664,45507600.0,51797.90858068717,45433900.0,45533800.0,0.34,0.34,0.26666666666666666,0.25,0.06658328118479395,0.21,0.25,,,,,,,,15764543.0,15764543.0,15764524.333333334,15764543.0,32.33161507448462,15764487.0,15764487.0,2018-02-26 10:00:00,584,903,8718,15686958716.0,428911450134.0,1.009521385975413
12,100130927.0,ethereum-classic,3526601236.0,Ethereum Classic,13,ETC,0.00367149,0.00367802,0.003675293333333333,0.00367637,3.3955313771684564e-06,0.00367149,0.00367802,35.2259,35.2356,35.227133333333335,35.2259,0.007922331306711047,35.2199,35.2199,0.42,0.42,0.3466666666666667,0.39,0.10214368964029708,0.23,0.23,-6.05,-5.83,-5.95,-5.97,0.11135528725659996,-6.05,-5.83,649352000.0,651575000.0,650118000.0,649427000.0,1262356.1304164527,649352000.0,651575000.0,-5.25,-5.23,-5.263333333333333,-5.25,0.041633319989321946,-5.31,-5.31,,,,,,,,100131247.0,100131247.0,100131140.33333333,100131247.0,184.75208614175565,100130927.0,100130927.0,2018-02-26 10:00:00,584,903,8718,15686958716.0,428911450134.0,0.82222128481257
13,8999999999.0,nem,3515526000.0,NEM,14,XEM,4.076e-05,4.079e-05,4.076666666666667e-05,4.076e-05,2.081665999466303e-08,4.075e-05,4.079e-05,0.39103,0.39103,0.390723,0.390614,0.0002695681731955699,0.390525,0.390614,0.5,0.5,0.3866666666666667,0.34,0.09865765724632494,0.32,0.32,-26.18,-26.18,-26.23333333333333,-26.25,0.04725815626252477,-26.27,-26.25,17205000.0,17205000.0,17161300.0,17144600.0,38194.1094934808,17134300.0,17134300.0,-1.75,-1.75,-1.83,-1.86,0.07000000000000003,-1.88,-1.86,,,,,,,,8999999999.0,8999999999.0,8999999999.0,8999999999.0,0.0,8999999999.0,8999999999.0,2018-02-26 10:00:00,584,903,8718,15686958716.0,428911450134.0,0.819639111733129
14,476173805.0,vechain,2711857437.0,VeChain,15,VEN,0.00059232,0.00059474,0.0005933399999999999,0.00059296,1.2539537471532937e-06,0.00059232,0.00059474,5.68299,5.6951,5.68706,5.68309,0.006963023768449937,5.68299,5.6951,3.49,3.49,3.3333333333333335,3.47,0.2542308662089115,3.04,3.04,-4.26,-3.76,-4.053333333333334,-4.14,0.2610236260060253,-4.26,-3.76,143823000.0,143823000.0,142712000.0,143182000.0,1406197.3545701187,141131000.0,141131000.0,0.73,1.04,0.85,0.78,0.1664331697709324,0.73,1.04,,,,,,,,873378637.0,873378637.0,873378637.0,873378637.0,0.0,873378637.0,873378637.0,2018-02-26 10:00:00,584,903,8718,15686958716.0,428911450134.0,0.6322651065045628
15,65748192475.0,tron,2598486913.0,TRON,16,TRX,4.13e-06,4.13e-06,4.13e-06,4.13e-06,0.0,4.13e-06,4.13e-06,0.0395981,0.0395981,0.0395625,0.0395676,3.8404817406150945e-05,0.0395218,0.0395218,0.5,0.5,0.41333333333333333,0.43,0.09609023536933049,0.31,0.31,-23.52,-23.52,-23.566666666666666,-23.56,0.05033222956847247,-23.62,-23.62,177453000.0,177453000.0,175945666.66666666,175537000.0,1350209.3664811188,174847000.0,174847000.0,-2.42,-2.42,-2.453333333333333,-2.43,0.04932882862316217,-2.51,-2.51,,,,,,,,100000000000.0,100000000000.0,100000000000.0,100000000000.0,0.0,100000000000.0,100000000000.0,2018-02-26 10:00:00,584,903,8718,15686958716.0,428911450134.0,0.6058329550745694
16,2217140814.0,tether,2215633158.0,Tether,17,USDT,0.00010424,0.00010436,0.00010429666666666667,0.00010429,6.027713773341445e-08,0.00010424,0.00010436,1.00009,1.00009,0.9996593333333333,0.999568,0.0003930411344036296,0.99932,0.99932,-0.19,-0.17,-0.19000000000000003,-0.19,0.01999999999999999,-0.21,-0.21,-0.08,-0.08,-0.12333333333333335,-0.13,0.040414518843273815,-0.16,-0.16,1972790000.0,1972790000.0,1972253333.3333333,1972630000.0,795005.2410728909,1971340000.0,1971340000.0,-0.03,-0.03,-0.07333333333333333,-0.08,0.0404145188432738,-0.11,-0.11,,,,,,,,2280109970.0,2280109970.0,2280109970.0,2280109970.0,0.0,2280109970.0,2280109970.0,2018-02-26 10:00:00,584,903,8718,15686958716.0,428911450134.0,0.516571231033304
17,102249944.0,lisk,2006481328.0,Lisk,18,LSK,0.00205601,0.00205873,0.00205467,0.00205601,4.870277199502874e-06,0.00204927,0.00204927,19.7262,19.7316,19.6937,19.7262,0.0610279444189294,19.6233,19.6233,0.83,0.88,0.7200000000000001,0.83,0.2351595203260969,0.45,0.45,-34.87,-34.87,-34.99333333333333,-34.87,0.21361959960016416,-35.24,-35.24,39832300.0,39893700.0,39832633.333333336,39832300.0,60900.68417787549,39771900.0,39771900.0,-3.3,-3.27,-3.4633333333333334,-3.3,0.3092463958291726,-3.82,-3.82,,,,,,,,118467204.0,118467204.0,118467044.0,118467204.0,277.1281292110204,118466724.0,118466724.0,2018-02-26 10:00:00,584,903,8718,15686958716.0,428911450134.0,0.4678078254551464
18,16847599.0,bitcoin-gold,1948643796.0,Bitcoin Gold,19,BTG,0.0120854,0.0120854,0.012079266666666666,0.0120787,5.8705479585242605e-06,0.0120737,0.0120787,115.952,115.952,115.77766666666666,115.718,0.15346117858707395,115.663,115.663,0.33,0.33,0.21666666666666667,0.17,0.09865765724632494,0.15,0.15,-14.87,-14.87,-14.963333333333333,-15.01,0.08082903768654794,-15.01,-15.01,19601800.0,19601800.0,19440433.333333332,19527100.0,218026.1987315595,19192400.0,19192400.0,-1.31,-1.31,-1.4600000000000002,-1.51,0.13228756555322962,-1.56,-1.56,21000000.0,21000000.0,21000000.0,21000000.0,0.0,21000000.0,21000000.0,16947649.0,16947649.0,16947632.333333332,16947649.0,28.86751345975014,16947599.0,16947599.0,2018-02-26 10:00:00,584,903,8718,15686958716.0,428911450134.0,0.45432309988255315
19,73909468.0,qtum,1879754282.0,Qtum,20,QTUM,0.00265525,0.00265769,0.002656313333333333,0.002656,1.2498133193933708e-06,0.00265525,0.002656,25.4756,25.4756,25.460333333333335,25.4722,0.02355956988854736,25.4332,25.4332,0.65,0.65,0.5499999999999999,0.58,0.11789826122551594,0.42,0.42,-21.48,-21.47,-21.506666666666664,-21.48,0.055075705472861676,-21.57,-21.57,99904800.0,99904800.0,99553166.66666667,99464300.0,316693.5479818495,99290400.0,99290400.0,-1.69,-1.69,-1.7599999999999998,-1.71,0.10440306508910549,-1.88,-1.88,,,,,,,,100409500.0,100409500.0,100409489.33333333,100409500.0,18.475208615143423,100409468.0,100409468.0,2018-02-26 10:00:00,584,903,8718,15686958716.0,428911450134.0,0.4382616228624182
